k,inertia,silhouette,avg_cluster_size,small_clusters,small_cluster_ratio,min_cluster_size,max_cluster_size,inertia_scaled,silhouette_scaled,balance_score,interpretability_score,elbow_curvature,elbow_scaled,selection_score
50,805.5386983567058,0.1079990543529749,154.22,0,0.0,43,438,0.8258672048107061,0.8066603447115807,1.0,0.9718666666666667,0.0014030846276573694,0.07558337887756915,0.6873399826040245
51,800.1688313406962,0.11202562952754226,151.19607843137254,1,0.0196078431372549,27,478,0.8344777562831709,0.8502091148018194,0.9803921568627451,0.9920261437908497,0.008671714622566995,0.4671403840622038,0.8017510948774551
52,789.3909536446645,0.11597500183156617,148.28846153846155,0,0.0,44,439,0.8517600223782027,0.8929229097795012,1.0,0.9885897435897436,0.01710068446996138,0.9212042437646082,0.9357586863914141
53,789.2777124449228,0.11100290790294412,145.49056603773585,1,0.018867924528301886,27,390,0.8519416040032731,0.839148035108771,0.9811320754716981,0.969937106918239,0.007870813011886857,0.42399626524681705,0.7833752614872881
54,784.2559332361038,0.11423747533656754,142.7962962962963,1,0.018518518518518517,25,420,0.8599939986402304,0.8741309740584641,0.9814814814814815,0.9519753086419753,8.167080866572363e-05,0.004399560477635189,0.689844872335387
55,779.2850870462706,0.11516000733254492,140.2,0,0.0,44,389,0.867964722468522,0.8841084690888467,1.0,0.9346666666666665,0.0018566443869716398,0.10001638773257107,0.7188474845686815
56,775.472114830705,0.11994112318828233,137.69642857142858,1,0.017857142857142856,27,431,0.8740788019098419,0.9358178514173847,0.9821428571428571,0.9179761904761905,0.004781447508289904,0.25757388505188406,0.772845611829925
57,768.6772503001519,0.11780181258207967,135.28070175438597,1,0.017543859649122806,25,511,0.8849743288594517,0.9126804848708533,0.9824561403508771,0.9018713450292398,0.00795674793226575,0.4286255310215097,0.8040005065282803
58,766.8445160597212,0.11535226845316043,132.94827586206895,1,0.017241379310344827,27,437,0.8879131078767958,0.8861878380254707,0.9827586206896551,0.8863218390804597,0.0003952378881757479,0.021291242495212408,0.6892979458339913
59,764.7652964570023,0.11540960749811979,130.6949152542373,0,0.0,40,379,0.8912471247823156,0.8868079791572943,1.0,0.8712994350282486,0.004120577396422909,0.22197318423207396,0.7409114029751734
60,760.1163282477365,0.11669685861556157,128.51666666666668,1,0.016666666666666666,26,397,0.8987017190842583,0.9007300346341048,0.9833333333333333,0.8567777777777779,0.005456221552540552,0.29392358288051773,0.7589562429071046
61,758.8700670823486,0.11626018545690946,126.40983606557377,1,0.01639344262295082,26,333,0.9007000918336605,0.8960072669801363,0.9836065573770492,0.8427322404371584,0.006488317089162643,0.3495219883114161,0.7689145514108922
62,753.5774448867846,0.11256002975548267,124.37096774193549,0,0.0,44,324,0.9091867816722253,0.8559888337077873,1.0,0.8291397849462365,0.0010625692162886669,0.05724000539616789,0.6810765025740925
